id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
753780999741605489,"Bright, Spacious 2bdrm, Parking, AC, Downtown Van",13100756,Katy,,Downtown,49.27484,-123.1287,Entire home/apt,305,1,112,2024-11-07,3.98,1,84,28,25-157171
754474494838555627,Cozy Studio with City View,349804247,Εlvis,,Mount Pleasant,49.2621141,-123.0995228,Entire home/apt,,90,11,2025-01-05,0.51,23,40,5,
754817782255139085,Central Oasis Steps from the Waterfront!,486684222,Ervin,,Mount Pleasant,49.27059,-123.10886,Entire home/apt,173,2,134,2025-02-17,4.84,1,298,60,25-157157
755885807689048946,Tranquil Oasis in the Heart of Yaletown,47510244,Philip,,Downtown,49.27293,-123.12593,Entire home/apt,488,90,1,2024-08-05,0.14,1,251,1,22-300122
756696096943594580,Gorgeous Modern Downtown Unit Fantastic City Views,97868136,Harry,,Downtown,49.27785,-123.10748,Entire home/apt,787,2,76,2025-02-24,2.77,1,71,26,25-156784
756733561202282784,Entire 4-Bedroom Garden Level Suite Near UBC/YVR,457947027,Sandy,,Dunbar Southlands,49.23185,-123.19026,Entire home/apt,623,1,16,2024-07-21,0.73,1,60,3,25-157472
756871298880801904,Sleeps 4! Central Location! Brand new Sofa Bed!,274317228,Cole,,Downtown Eastside,49.2781168,-123.0995864,Entire home/apt,214,2,57,2025-02-18,3.51,1,0,48,25-157845
757182489429795380,Modern Loft - 3BEDS - Free Parking & Fast WIFI,431029351,Francis,,Downtown Eastside,49.282201643593226,-123.1068379818182,Entire home/apt,100,2,27,2025-02-17,3.51,1,256,27,24-158337
757396269753676254,Gorgeous Downtown Unit + Parking,298321838,Sara,,Downtown,49.27949,-123.10868,Entire home/apt,787,2,80,2025-02-18,2.90,1,83,23,25-156918
757466843286531325,1 king bed&private bathroom with shared kitchen #1,452919213,Yun,,Mount Pleasant,49.25852,-123.11267,Private room,,90,0,,,3,66,0,
758955165975667721,Adorable 1 bedroom place in Vancouver close to UBC,487480513,Kit,,Dunbar Southlands,49.24176,-123.17875,Entire home/apt,,90,0,,,1,89,0,
758959053155875338,Modern & Cozy 2BR/2BA in the Heart of Chinatown,330408881,Gurjant,,Downtown Eastside,49.27843,-123.10064,Entire home/apt,383,1,56,2024-12-08,2.09,1,354,29,25-157159
759391143392781156,1 Bedroom Apartment in Vancouver. Fully furnished,487557650,Zynab,,Renfrew-Collingwood,49.23787,-123.03043,Entire home/apt,300,30,3,2023-09-06,0.12,1,179,0,22-283606
759581402248506780,Modern Unit in Yaletown Steps from the Beach,15303001,Emily,,Downtown,49.2758164,-123.1331275,Entire home/apt,698,2,78,2025-01-03,2.88,1,84,29,25-157932
760110011548479326,Long Stay 2bdrm Home at South Vancouver,76758960,Tianzhen,,Sunset,49.21924,-123.10278,Entire home/apt,113,90,9,2024-08-31,0.37,1,364,2,
762391373309595914,Luxury Downtown Unit+Parking+AC,64746658,Manty,,Downtown,49.27475,-123.12872,Entire home/apt,175,2,100,2025-01-30,3.65,1,0,37,25-156701
762414755931963132,Downtown Vancouver 1BD with Unobstructed Views!,513294555,Jonathan,,Downtown Eastside,49.27907135555238,-123.09970804657883,Entire home/apt,163,2,110,2025-02-17,4.34,3,0,34,25-157219
