id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1173391043697696774,wake up in Ottawa urban oasis Private bath&Parking,561050183,Xiaoqing,,Gloucester-Southgate,45.35247,-75.61422,Private room,56,1,32,2025-02-17,3.50,4,264,32,STR-842-194
1173959113294078344,Room in Townhouse w/ Wi-fi,113446783,Sudie,,Kanata North,45.36077,-75.92514,Private room,59,1,8,2024-12-31,1.10,2,269,8,STR-844-011
1174088373915037296,Private King Size Master Bedroom Stay,400584769,Shane,,Orleans,45.46493,-75.49742,Private room,28,30,7,2024-12-05,0.84,6,341,7,Exempt
1174283676406341509,Large Private Bedroom In Orleans,400584769,Shane,,Orleans,45.46652,-75.49806,Private room,18,30,5,2024-09-08,0.59,6,90,5,Exempt
1174733338475291021,Peaceful room with private bath close to airport,561050183,Xiaoqing,,Gloucester-Southgate,45.35022,-75.61403,Private room,64,1,25,2025-02-15,2.98,4,267,25,STR-842-194
1176071062087088798,Riverside Haven,366935509,Peter,,Capital,45.3995765,-75.6728025,Entire home/apt,244,2,8,2025-01-03,1.07,1,67,8,STR-843-617
1176147359515765038,Lowertown Home - Great Location and Free Parking,10237055,Marika,,Rideau-Vanier,45.43234,-75.69208,Entire home/apt,,2,4,2024-11-10,0.63,1,0,4,STR-844-133
1176218756675386585,Rideau River Oasis,578825888,Julie,,Rideau-Goulbourn,45.2258,-75.68207,Entire home/apt,163,2,23,2025-02-07,3.33,1,25,23,STR-843-823
1176227046480519874,Vanier North Spot,25863632,Jeremy,,Rideau-Vanier,45.43798,-75.65703,Entire home/apt,77,30,1,2025-01-31,0.71,1,0,1,
1176349677197999442,Metro Queen in Luxury home FibreWiFi Free parking,104583371,Vivek,,Gloucester-South Nepean,45.32349,-75.60891,Private room,57,1,21,2024-12-30,2.34,3,180,21,STR-840-928
1176352783259781495,Modern Apartment in Centretown!,451220149,Gershon,,Somerset,45.4067,-75.71022,Entire home/apt,124,30,1,2024-10-19,0.21,3,0,1,
1177674448016175451,Spacious Ensuite Room with King Bed!,66819187,Suhail,,Gloucester-South Nepean,45.27003,-75.72853,Private room,32,1,22,2025-02-27,2.59,4,21,22,STR-828-523
1179764500448654131,“Tranquil 3-Bedroom Enclave”,124493612,Akinbodunde,,Innes,45.4268,-75.51112,Entire home/apt,207,2,16,2025-03-09,1.80,2,228,16,STR-839-704
1180369857953833335,Cozy room with private bath close to everywhere,561050183,Xiaoqing,,Gloucester-Southgate,45.35233,-75.61573,Private room,64,1,28,2025-02-23,3.15,4,269,28,STR-842-194
1180621738582798141,Rooms in Stittsville,415805902,Jesulayomi O,,Stittsville-Kanata West,45.28007,-75.88086,Private room,60,1,9,2025-02-23,1.08,1,303,9,STR-846-083
1180650329808960074,Charming Loft in Heritage CentreTown,27383041,Naveen,,Somerset,45.41114,-75.69052,Entire home/apt,105,30,2,2025-02-03,0.40,2,130,2,
1181133705928782230,Grandeur and Grace | Luxury 4BD Barrhaven,475319012,Jasmin,,Barrhaven,45.25269,-75.7545,Entire home/apt,185,1,25,2025-02-18,2.80,19,266,25,STR-842-581
