id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
822555607215782049,Magnifique 3 1/2 québec Parlement Plaines Vieux Qc,27372791,Bernard,,Saint-Jean-Baptiste,46.80725,-71.2254,Entire home/apt,90,31,0,,,1,339,0,
822693784411572602,Petit nid douillet !,496839184,Sebastien,,Vieux-Moulin,46.85511,-71.23296,Private room,51,2,88,2025-01-20,3.51,1,305,44,"312769, expires: 2026-04-17"
822709840207603853,"La Réserve du Boisé | Parking, terrasse & Gym",146148126,Stéphanie,,Saint-Roch,46.8126,-71.23037,Entire home/apt,97,2,117,2025-02-23,4.72,5,344,57,"297681, expires: 2026-01-12"
823192451303583403,L'Iris | Parking | BBQ & pool | Office & AC,43299704,Michel,,Saint-Roch,46.81585,-71.22033,Entire home/apt,110,31,86,2025-02-10,3.66,9,19,45,"310483, expires: 2025-08-31"
823203516633330430,Le Fleurdelysé | Parking | Pool & BBQ | AC,43299704,Michel,,Saint-Roch,46.81387,-71.21921,Entire home/apt,156,31,121,2025-02-17,5.16,9,255,58,"310483, expires: 2025-08-31"
823214954276861313,Le St-Laurent | Parking | Pool & BBQ | AC,43299704,Michel,,Saint-Roch,46.81402,-71.22009,Entire home/apt,149,31,103,2025-02-25,4.40,9,8,46,"310483, expires: 2025-08-31"
826150848311790533,Charmant logis dans le Vieux Limoilou.,415713021,David,,Vieux-Limoilou,46.82743,-71.22974,Entire home/apt,102,1,126,2025-02-26,5.09,3,218,85,"311985, expires: 2026-02-13"
827434097029183092,The Chic Playground / / Downtown Quebec,300819574,Deluxe Appartements,,Saint-Roch,46.815587,-71.220566,Entire home/apt,295,2,102,2025-02-23,4.57,11,303,57,"311533, expires: 2025-03-15"
827685534433098173,017 DuBerger-Ste-Foy Apt 3 1/2 rénové+clim+parking,501259342,André,,Duberger-Les Saules,46.81167,-71.31429,Entire home/apt,69,31,0,,,18,284,0,
828203509596207331,La Montmorency | Parking | BBQ & pool | AC,43299704,Michel,,Saint-Roch,46.81605,-71.21999,Entire home/apt,125,31,105,2025-02-20,4.31,9,12,51,"310483, expires: 2025-08-31"
828490289383558159,"Grand Apt.2ch sur 2 étages, clim, avec parking",501259342,André,,Duberger-Les Saules,46.8113,-71.31495,Entire home/apt,90,31,0,,,18,119,0,
829157862383530918,Adorable suite near Old Quebec,78867753,Jingjing,,Sillery,46.78266,-71.25967,Entire home/apt,171,1,72,2025-02-15,3.31,1,176,22,"312109, expires: 2026-02-16"
833325461873717869,Colocation chez l'Hôte.,252242693,Jean-Philippe,,Saint-Sauveur,46.81121,-71.23866,Private room,44,31,3,2024-10-19,0.13,2,325,2,
